ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.894043,-0.3466797,-0.2226563,-0.4365234,0.9975586,0.2885742,0,-1,0,0,-1,0,-2,0,-2,-2,-4,4,-2,0,0,1,30.875,30.875,30.875,14.1875,14.1875,14.1875,1.753127,3.263686,0.7757474,6.979775,5.696969,2.66517,-0.2002879,-0.5236719,1.141054,0.06265897,-0.02463791,1.130563,0.1438728,0.2405226,1.290167,-0.1592362,-0.5066124,1.134515,0.04049816,-0.0678369,1.155928,0.100548,-0.2096394,1.30664,0.08140108,-0.5231666,1.288957,-0.07989962,0.004060755,1.269404,-0.003777381,-0.5038515,1.254272,-0.1826362,-0.2490869,1.272826,0.3072852,-0.1650183,1.115981,NA,NA,Unknown,Unknown
0.8740234,-0.3828125,-0.2060547,-0.4907227,0.9145508,0.3344727,-1,0,-1,-2,-2,0,-2,-2,-5,-4,-2,-2,-2,0,0,-3,-28.5,-28.5,-28.5,-18.125,-18.125,-18.125,1.767481,3.259064,0.7402596,6.961733,5.686309,2.645087,-0.1964614,-0.5220524,1.138329,0.06633845,-0.02638798,1.127379,0.1438623,0.2405365,1.290155,-0.1501358,-0.5167815,1.135261,0.04176358,-0.06907356,1.154574,0.100481,-0.2096306,1.306625,0.08123189,-0.5230799,1.288784,-0.08013306,0.004145691,1.269338,-0.003914308,-0.503698,1.254074,-0.1827705,-0.24905,1.27267,0.3111418,-0.1659409,1.117657,NA,NA,Unknown,Unknown
0.8769531,-0.4233398,-0.2089844,-0.4555664,0.925293,0.3300781,-2,0,0,0,1,-1,1,-2,0,0,-1,-7,-4,-2,0,1,3,3,3,11.875,11.875,11.875,1.783289,3.259245,0.6890514,6.956944,5.68074,2.63226,-0.1939533,-0.5227735,1.137462,0.06653246,-0.03276375,1.129919,0.1437766,0.240603,1.290057,-0.1497331,-0.5104727,1.132976,0.04282804,-0.07894737,1.15127,0.1004352,-0.2096363,1.306542,0.08114874,-0.5229504,1.288364,-0.08044139,0.004192512,1.269244,-0.003942071,-0.5035307,1.253531,-0.1826308,-0.2492538,1.271842,0.3152086,-0.1669381,1.119431,NA,NA,Unknown,Unknown
0.8989258,-0.3969727,-0.2163086,-0.4072266,0.8486328,0.347168,-2,1,-1,0,1,-2,-3,-1,6,0,-1,1,-1,-1,-2,2,-3.5,-3.5,-3.5,1.25,1.25,1.25,1.787552,3.252475,0.68481,6.952078,5.687066,2.628392,-0.1924132,-0.5214487,1.135839,0.06665114,-0.03352074,1.130755,0.1437558,0.2406425,1.289988,-0.1485552,-0.5140424,1.133377,0.03281517,-0.08059257,1.150172,0.1004098,-0.2096439,1.30644,0.08118941,-0.5229167,1.288108,-0.08061877,0.004234844,1.269072,-0.003839068,-0.5034562,1.253193,-0.1825172,-0.2493836,1.271075,0.3168795,-0.1673536,1.12023,NA,NA,Unknown,Unknown
0.8959961,-0.4101563,-0.2202148,-0.4121094,0.8730469,0.3081055,0,-2,-2,-3,-3,-2,-2,1,-2,-1,0,0,-2,-1,0,-1,-5.75,-5.75,-5.75,4.75,4.75,4.75,1.78472,3.251899,0.6748577,6.95763,5.689262,2.622653,-0.1911725,-0.521306,1.133896,0.06754696,-0.03402102,1.131237,0.1436999,0.2407337,1.289856,-0.1461291,-0.5160357,1.129434,0.03628138,-0.07935031,1.150173,0.1003711,-0.2096159,1.306291,0.08121622,-0.522761,1.287801,-0.0808259,0.004277247,1.268886,-0.00382212,-0.5033085,1.25282,-0.182469,-0.2495143,1.270095,0.3182095,-0.1676432,1.120794,NA,NA,Unknown,Unknown
0.8798828,-0.4111328,-0.2011719,-0.3745117,0.8271484,0.3452148,-1,1,-2,-1,-1,-1,-1,-1,-7,-2,-1,-2,0,0,-1,-3,-6.625,-6.625,-6.625,-0.375,-0.375,-0.375,1.781975,3.251901,0.6618074,6.949993,5.682773,2.613403,-0.1903885,-0.5217592,1.131519,0.06765874,-0.03417186,1.130307,0.1436736,0.2407677,1.289788,-0.1477958,-0.5117056,1.133473,0.03583562,-0.08097794,1.149457,0.1002437,-0.2095225,1.306006,0.08103987,-0.5226129,1.287248,-0.08105195,0.004340564,1.26865,-0.003875419,-0.5031123,1.252108,-0.1824611,-0.2496284,1.268883,0.3186965,-0.167767,1.121057,NA,NA,Unknown,Unknown
0.8935547,-0.3969727,-0.1928711,-0.4375,0.8852539,0.3178711,-1,-1,-1,-1,-1,2,0,-2,-7,-3,0,-4,-2,-1,-2,-2,1.9375,1.9375,1.9375,-3.0625,-3.0625,-3.0625,1.777189,3.250465,0.6669558,6.942157,5.679433,2.606598,-0.1915301,-0.5241825,1.131577,0.06622828,-0.03878757,1.132785,0.1436477,0.240866,1.289656,-0.1483872,-0.5121898,1.130467,0.02859377,-0.09012078,1.146182,0.1002884,-0.2095532,1.305716,0.0812433,-0.5226097,1.286813,-0.08127349,0.004381021,1.268484,-0.003590693,-0.5031816,1.251741,-0.182655,-0.2497029,1.267407,0.3202609,-0.1680484,1.121814,NA,NA,Unknown,Unknown
0.8999023,-0.387207,-0.2026367,-0.4199219,0.8876953,0.3076172,0,-1,-2,-2,0,-1,0,-2,2,-2,-1,-2,0,0,0,1,-5.25,-5.25,-5.25,0.25,0.25,0.25,1.766516,3.245421,0.6741884,6.939631,5.68234,2.599492,-0.1903748,-0.5243196,1.131428,0.06659532,-0.03569422,1.131317,0.1436446,0.2409688,1.289466,-0.1403718,-0.4970466,1.13075,0.02911508,-0.08739299,1.145885,0.1002645,-0.209501,1.30544,0.08121727,-0.5224189,1.286407,-0.08142695,0.004412429,1.268297,-0.003601788,-0.5029925,1.251192,-0.1827423,-0.2497624,1.26636,0.3202842,-0.1680968,1.121904,NA,NA,Unknown,Unknown
0.8935547,-0.4111328,-0.1938477,-0.4262695,0.8613281,0.3208008,-1,-1,-2,-3,2,-2,0,-2,3,-2,-2,-2,-3,0,1,2,-2.5,-2.5,-2.5,1.1875,1.1875,1.1875,1.75849,3.241107,0.6710471,6.939133,5.686066,2.596049,-0.1913453,-0.5238714,1.131431,0.06542602,-0.03862881,1.132572,0.1436962,0.2411267,1.289123,-0.1464708,-0.5086936,1.129515,0.0272595,-0.09142727,1.144587,0.1003125,-0.2094528,1.304998,0.08122879,-0.5222071,1.285842,-0.08160179,0.004492609,1.268089,-0.00352031,-0.5026923,1.250275,-0.182903,-0.2497379,1.265459,0.3204157,-0.1681052,1.121962,NA,NA,Unknown,Unknown
0.8842773,-0.3945313,-0.2045898,-0.4238281,0.8681641,0.3134766,1,-2,-2,0,-1,-1,-2,-1,-9,-1,1,-2,-1,-2,-2,-5,0.5625,0.5625,0.5625,1.0625,1.0625,1.0625,1.759735,3.239749,0.6700436,6.942533,5.687184,2.59498,-0.1913528,-0.5246201,1.132441,0.06640373,-0.0367369,1.132569,0.1437464,0.2411873,1.288827,-0.146592,-0.5097129,1.130994,0.02817053,-0.08890024,1.145346,0.1001979,-0.2093753,1.304791,0.08115243,-0.5220432,1.2857,-0.08172097,0.00449374,1.267862,-0.003643077,-0.5025032,1.250052,-0.1830818,-0.2497548,1.264614,0.3204764,-0.1680961,1.121979,NA,NA,Unknown,Unknown
