ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.4208984,-1.018066,0.1699219,-0.3652344,0.7558594,0.7011719,-2,-2,-2,0,0,1,-3,-1,-9,-2,3,1,-1,-3,-3,-8,22.375,22.375,22.375,-47.75,-47.75,-47.75,2.800434,5.595365,8.260751,6.467962,5.669058,0.7131434,0.1244072,0.01086935,1.028687,0.1382574,0.01682145,1.036864,0.1521781,0.2589748,1.318617,0.0959163,0.04165625,1.019226,0.09848595,-0.01725259,1.005588,0.116648,-0.2044725,1.294452,0.1139512,-0.531192,1.271392,-0.07574966,0.01843075,1.265971,0.02604451,-0.5152267,1.239061,-0.129,-0.1276385,1.094827,0.3689125,-0.2073458,1.205718,NA,NA,NotTracked,NotTracked
-0.4946289,-0.9169922,-0.06152344,-0.5209961,0.9672852,0.6586914,-1,-3,-4,-13,-8,-4,1,-1,-3,-1,-4,-2,-2,-2,-2,-1,5.5,5.5,5.5,31.1875,31.1875,31.1875,2.800898,5.594193,8.242919,6.480721,5.613109,0.6964516,0.1279491,0.006904622,1.029402,0.141298,-0.001926342,1.043203,0.1540704,0.2565282,1.318315,0.09170914,0.03730744,1.028667,0.1346783,-0.05695601,1.0614,0.1164467,-0.2053161,1.295362,0.1140988,-0.531345,1.271429,-0.07581709,0.01852487,1.266072,0.02613303,-0.5153245,1.239169,-0.1304805,-0.1300429,1.098109,0.3679117,-0.2067982,1.20491,NA,NA,NotTracked,NotTracked
-0.378418,-1.071777,0.2558594,-0.362793,0.671875,0.5400391,-1,-1,-4,-5,-4,-3,0,0,-4,-2,-4,-1,0,1,1,-3,-28.125,-28.125,-28.125,8.1875,8.1875,8.1875,2.767192,5.560295,8.266378,6.484546,5.613564,0.7241426,0.1148549,-0.004634419,1.025841,0.1392935,-0.00404888,1.042745,0.1555367,0.2539621,1.317263,0.08494677,0.0278568,1.0205,0.1442004,-0.06395154,1.0738,0.1168474,-0.2056448,1.296749,0.1144342,-0.5312761,1.271523,-0.07588346,0.01857913,1.266173,0.02642036,-0.5151966,1.239062,-0.1334926,-0.1317003,1.101673,0.3676938,-0.2063422,1.204769,NA,NA,NotTracked,NotTracked
-0.4077148,-0.9125977,0.1479492,-0.2983398,0.9375,0.6806641,1,0,1,0,2,-4,-7,-5,9,31,16,0,0,3,2,1,-12,-12,-12,32.375,32.375,32.375,2.749172,5.554295,8.300724,6.540036,5.621694,0.729698,0.1224957,-0.000791913,1.0268,0.1381861,-0.005358931,1.045672,0.1565905,0.2520366,1.316082,0.08468392,0.03058125,1.023234,0.1378844,-0.05942811,1.066559,0.1167929,-0.2061195,1.297155,0.1144689,-0.5312393,1.271494,-0.07590529,0.01865304,1.266387,0.02665996,-0.5150309,1.238719,-0.136955,-0.1330847,1.105678,0.3673605,-0.2060637,1.204387,NA,NA,NotTracked,NotTracked
-0.3911133,-0.859375,0.05517578,-0.4165039,0.9306641,0.6357422,-3,-1,-1,0,0,1,0,1,-13,-11,-11,-5,0,-1,1,-1,-31.0625,-31.0625,-31.0625,53,53,53,2.716254,5.564593,8.330884,6.586684,5.660071,0.7395309,0.1308017,0.003036883,1.035095,0.1554835,-0.03838125,1.105776,0.1568609,0.2512781,1.315528,0.09709983,0.05018639,1.052379,0.1167442,-0.09404027,1.156278,0.1167438,-0.2063694,1.297405,0.114518,-0.5311582,1.271483,-0.07595213,0.01869585,1.266776,0.02686216,-0.5148501,1.238472,-0.1388073,-0.1337993,1.107762,0.3675045,-0.2057792,1.204636,NA,NA,NotTracked,NotTracked
-0.3051758,-0.8374023,0.07763672,-0.7460938,1.127441,0.1655273,0,-2,-1,3,-3,-2,0,1,2,-6,-3,-1,0,3,-2,6,-17.375,-17.375,-17.375,168.5625,168.5625,168.5625,2.685894,5.504531,8.425215,6.890275,5.899511,0.7107554,0.1062309,-0.01410826,1.006553,0.1640671,0.02059366,1.064227,0.1556023,0.2516074,1.315072,0.08110266,0.0167896,1.006654,0.1592117,0.0562939,1.083375,0.1160488,-0.2065385,1.29724,0.1139991,-0.5310571,1.271363,-0.07596192,0.01888514,1.267429,0.02561403,-0.5146916,1.239083,-0.1406752,-0.1344667,1.109137,0.3677706,-0.2057703,1.205094,NA,NA,NotTracked,NotTracked
-0.2275391,-0.8330078,0.1318359,-0.9267578,0.7758789,-0.04101563,1,0,0,-1,-4,-4,0,2,-6,3,6,2,-1,3,-7,-33,-83.5625,-83.5625,-83.5625,187.3125,187.3125,187.3125,2.61673,5.415883,8.510237,7.301843,6.254318,0.7089468,0.09383065,-0.04211046,0.9891471,0.2259437,0.08115612,1.146602,0.1527653,0.2506503,1.314255,0.09546132,0.003749521,1.022692,0.2053988,0.08156498,1.186435,0.1162916,-0.206746,1.297442,0.1138821,-0.5299212,1.271423,-0.07602096,0.01857792,1.267643,0.02528241,-0.5141214,1.239696,-0.1477153,-0.1378876,1.113213,0.3724454,-0.1965098,1.192858,NA,NA,NotTracked,Unknown
-0.2045898,-1.11377,0.1464844,-0.8916016,0.409668,0.08740234,-1,-1,-1,9,7,4,4,3,-6,-7,-5,-4,3,0,-1,26,-52.4375,-52.4375,-52.4375,150.625,150.625,150.625,2.520825,5.299151,8.556125,7.620871,6.496177,0.7717772,0.0938838,-0.07420097,0.9782098,0.2639871,0.09875198,1.161089,0.1521372,0.2485237,1.314382,0.115767,-0.02817606,1.018,0.2320773,0.0828889,1.206545,0.1202996,-0.2058431,1.299353,0.1174056,-0.5250357,1.273621,-0.07491075,0.01749529,1.267947,0.02767656,-0.511054,1.239456,-0.1571383,-0.1405272,1.119264,0.3966738,-0.1653471,1.158229,NA,NA,Unknown,NotTracked
-0.1640625,-1.166504,0.07373047,-0.7138672,0.2441406,0.1337891,-1,-1,-2,-4,-1,-2,-1,-1,-4,4,3,2,6,10,-7,-27,-32.25,-32.25,-32.25,83.5,83.5,83.5,2.456481,5.202354,8.551377,7.885841,6.631652,0.8759375,0.0991197,-0.09636512,0.9757541,0.2649186,0.1394315,1.173283,0.1525057,0.24645,1.315552,0.09868199,-0.06138919,0.9976365,0.2395353,0.1090937,1.204737,0.1219671,-0.2054314,1.300922,0.1201525,-0.5218756,1.275413,-0.07377914,0.0158617,1.267961,0.03141643,-0.5073015,1.238003,-0.1606926,-0.140199,1.122463,0.4115452,-0.1392743,1.131971,NA,NA,Unknown,NotTracked
-0.1313477,-1.083496,-0.03369141,-0.5244141,0.2495117,0.03955078,0,-1,-2,-4,-3,-2,3,2,-7,-2,-3,0,1,29,15,-19,1.125,1.125,1.125,16.8125,16.8125,16.8125,2.440645,5.193791,8.520053,7.970198,6.570973,0.8844584,0.103944,-0.1064876,0.9804496,0.2435892,0.1672883,1.158781,0.1524842,0.244979,1.314869,0.1102203,-0.07743572,0.9934401,0.225792,0.1210279,1.207846,0.1243329,-0.2049246,1.302502,0.1264611,-0.517692,1.276888,-0.07294534,0.01423975,1.267909,0.03543505,-0.5040896,1.237539,-0.1626278,-0.1401452,1.126015,0.4183252,-0.1062523,1.110028,NA,NA,Unknown,NotTracked
